Date,Day,C_Temp_max_C,C_Temp_min_C,T1_Temp_max_C,T1_Temp_min_C,T2_Temp_max_C,T2_Temp_min_C,T3_Temp_max_C,T3_Temp_min_C,T4_Temp_max_C,T4_Temp_min_C,T5_Temp_max_C,T5_Temp_min_C,T6_Temp_max_C,T6_Temp_min_C,T7_Temp_max_C,T7_Temp_min_C,T8_Temp_max_C,T8_Temp_min_C,T9_Temp_max_C,T9_Temp_min_C,T10_Temp_max_C,T10_Temp_min_C,T11_Temp_max_C,T11_Temp_min_C,T12_Temp_max_C,T12_Temp_min_C,T13_Temp_max_C,T13_Temp_min_C,T14_Temp_max_C,T14_Temp_min_C,T15_Temp_max_C,T15_Temp_min_C,T16_Temp_max_C,T16_Temp_min_C,T17_Temp_max_C,T17_Temp_min_C,T18_Temp_max_C,T18_Temp_min_C,T19_Temp_max_C,T19_Temp_min_C,T20_Temp_max_C,T20_Temp_min_C,T21_Temp_max_C,T21_Temp_min_C,T22_Temp_max_C,T22_Temp_min_C
2022-09-01,1,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222,27.77777778,17.22222222
2022-09-02,2,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667,30,11.66666667
2022-09-03,3,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889,27.77777778,13.88888889
2022-09-04,4,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778,30,17.77777778
2022-09-05,5,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889,32.22222222,18.88888889
2022-09-06,6,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20,27.22222222,20
2022-09-07,7,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333,25,18.33333333
2022-09-08,8,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15,19.44444444,15
2022-09-09,9,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778,26.66666667,12.77777778
2022-09-10,10,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667,27.77777778,11.66666667
