EggMass,Source,TotalEggs,ControlHatchStartDate,ControlHatchEndDate,RemoveHatchStartDate,RemoveHatchEndDate,ControlEggs,ControlHatch,HatchSuccessControl,RemovedEggs,RemovedHatch,HatchSuccessRemoved
37,PA,32,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,16,13,0.813,13,9,0.692
36,PA,34,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,18,18,1,15,6,0.4
44,PA,32,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,14,1,0.071,16,0,0
49,PA,32,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,15,14,0.933,17,7,0.412
46,PA,71,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,32,16,0.5,37,11,0.297
21,PA,53,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,25,4,0.16,25,6,0.24
53,PA,34,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,16,5,0.313,17,10,0.588
9,PA,24,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,13,0,0,10,0,0
10,PA,43,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,21,15,0.714,22,10,0.455
12,PA,25,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,13,0,0,10,0,0
13,PA,99,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,44,25,0.568,43,1,0.023
30,PA,52,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,27,0,0,24,0,0
50,PA,42,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,15,0,0,27,0,0
54,PA,30,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,12,8,0.667,18,4,0.222
19,PA,40,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,16,16,1,24,0,0
20,PA,20,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,10,0,0,10,0,0
47,PA,21,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,10,5,0.5,11,1,0.091
52,PA,29,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,14,0,0,15,1,0.067
48,PA,36,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,18,0,0,18,0,0
29,PA,41,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,20,14,0.7,21,4,0.19
103,PA,57,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,20,8,0.4,37,5,0.135
104,PA,39,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,20,13,0.65,19,9,0.474
115,PA,30,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,15,0,0,15,0,0
107,PA,38,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,19,8,0.421,19,13,0.684
90,PA,41,14-Apr-22,18-Apr-22,16-Apr-22,19-Apr-22,19,12,0.632,22,1,0.045
