EggMass,EggNumber,IndividualCode,Source,TreatmentDate,PreTreatMass,TempOffset,SCP,HatchDate,Fitness,Note
106,1,106-1,PA,02-Feb-22,0.0047,0.75,-26.18,11-Mar-22,0,
106,2,106-2,PA,02-Feb-22,0.0043,0.55,-24.76,11-Mar-22,0,
106,3,106-3,PA,02-Feb-22,0.0041,0.21,-25.2,11-Mar-22,0,
106,4,106-4,PA,02-Feb-22,0.0042,0.13,-25.33,11-Mar-22,0,
106,5,106-5,PA,02-Feb-22,0.0041,0.39,-26.52,28-Mar-22,0,
106,6,106-6,PA,02-Feb-22,0.0042,0.19,-25.78,28-Mar-22,0,
106,7,106-7,PA,02-Feb-22,0.0039,0.6,-27.41,28-Mar-22,0,
106,8,106-8,PA,02-Feb-22,0.0037,0.55,-6.61,28-Mar-22,0,Damaged
6,1,6--1,PA,03-Feb-22,0.0039,0.22,-26.62,11-Mar-22,0,
6,2,02-Jun,PA,03-Feb-22,0.004,0.21,-25.83,11-Mar-22,0,
6,3,03-Jun,PA,03-Feb-22,0.004,0.27,-24,11-Mar-22,0,
6,4,04-Jun,PA,03-Feb-22,0.0039,0.4,-27.5,11-Mar-22,0,
6,5,05-Jun,PA,03-Feb-22,0.0038,0.31,-27.66,28-Mar-22,0,
6,6,06-Jun,PA,03-Feb-22,0.0039,0.28,-26.54,28-Mar-22,0,
6,7,07-Jun,PA,03-Feb-22,0.004,0.2,-24.91,28-Mar-22,0,
6,8,08-Jun,PA,03-Feb-22,0.0038,0.23,-26.86,28-Mar-22,0,
11,1,01-Nov,PA,03-Feb-22,0.0035,0.35,-9.25,11-Mar-22,0,Damaged
11,2,02-Nov,PA,03-Feb-22,0.0035,0.35,-24,11-Mar-22,0,
11,3,03-Nov,PA,03-Feb-22,0.0034,0.42,-25.19,11-Mar-22,0,
11,4,04-Nov,PA,03-Feb-22,0.0035,0.41,-25.12,11-Mar-22,0,
11,5,05-Nov,PA,03-Feb-22,0.0037,0.14,-26.07,28-Mar-22,0,
11,6,06-Nov,PA,03-Feb-22,0.0039,0.45,-26.89,28-Mar-22,0,
11,7,07-Nov,PA,03-Feb-22,0.0033,0.43,-24.62,28-Mar-22,0,
11,8,08-Nov,PA,03-Feb-22,0.0034,0.44,-25.12,28-Mar-22,0,
7,1,01-Jul,PA,07-Feb-22,0.0041,0.21,-22.26,11-Mar-22,0,
7,2,02-Jul,PA,07-Feb-22,0.0039,0.34,-27.02,11-Mar-22,0,
7,3,03-Jul,PA,07-Feb-22,0.0042,0.34,-27.06,11-Mar-22,0,
7,4,04-Jul,PA,07-Feb-22,0.0038,0.47,-26.22,11-Mar-22,0,
7,5,05-Jul,PA,07-Feb-22,0.0041,0.67,-26.15,11-Mar-22,0,
7,6,06-Jul,PA,07-Feb-22,0.0041,0.34,-26.21,11-Mar-22,0,
7,7,07-Jul,PA,07-Feb-22,0.0037,0.25,-26.35,11-Mar-22,0,
7,8,08-Jul,PA,07-Feb-22,0.0037,0.49,-25.27,11-Mar-22,0,
42,1,Jan-42,PA,07-Feb-22,0.0039,0.68,-25.72,28-Mar-22,0,
42,2,Feb-42,PA,07-Feb-22,0.0042,0.89,-23.97,28-Mar-22,0,
42,3,Mar-42,PA,07-Feb-22,0.0041,0.45,-26.71,28-Mar-22,0,
42,4,Apr-42,PA,07-Feb-22,0.0038,0.57,-17.44,28-Mar-22,0,
42,5,May-42,PA,07-Feb-22,0.0041,0.48,-27.2,28-Mar-22,0,
42,6,Jun-42,PA,07-Feb-22,0.0037,0.59,-19.45,28-Mar-22,0,
42,7,Jul-42,PA,07-Feb-22,0.0038,0.78,-26.76,28-Mar-22,0,
42,8,Aug-42,PA,07-Feb-22,0.0037,0.34,-26.08,28-Mar-22,0,
,1,,,,,,,,,
,2,,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,6,,,,,,,,,
,7,,,,,,,,,
,8,,,,,,,,,
,1,,,,,,,,,
,2,,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,6,,,,,,,,,
,7,,,,,,,,,
,8,,,,,,,,,
