Source,YR,TreatmentDate,TreatmentTemp,TreatmentTime,EggMassClass,EggMass,EggMass2,TotalEggs,TotalHatch,PercentageHatch
PA,2,18/01/2023,6,control,single,8,8,101,64,0.63
PA,2,18/01/2023,6,control,single,15,15,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,30,30,37,2,0.05
PA,2,18/01/2023,6,control,single,31,31,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,45,45,NA,0,0
PA,2,18/01/2023,6,control,single,63,63,112,39,0.35
PA,2,18/01/2023,6,control,single,69,69,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,113,113,106,79,0.75
PA,2,18/01/2023,6,control,single,248,248,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,249,249,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,250,250,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,251,251,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,252,252,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,254,254,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,255,255,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,256,256,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,257,257,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,258,258,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,259,259,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,260,260,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,261,261,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,262,262,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,263,263,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,264,264,24,0,0
PA,2,18/01/2023,6,control,single,265,265,?,0,0
PA,2,18/01/2023,6,control,single,266,266,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,267,267,15,1,0.07
PA,2,18/01/2023,6,control,single,268,268,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,269,269,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,270,270,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,271,271,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,272,272,38,0,0
PA,2,18/01/2023,6,control,single,273,273,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,274,274,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,275,275,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,276,276,30,0,0
PA,2,18/01/2023,6,control,single,277,277,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,278,278,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,279,279,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,280,280,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,281,281,0,0,#DIV/0!
PA,2,18/01/2023,6,control,single,282,282,29,4,0.14
PA,2,18/01/2023,6,control,single,283,283,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,284,284,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,285,285,21,8,0.38
PA,2,18/01/2023,6,control,single,286,286,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,287,287,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,288,288,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,289,289,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,290,290,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,291,291,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,292,292,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,293,293,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,294,294,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,295,295,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,296,296,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,297,297,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,298,298,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,299,299,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,300,300,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,single,301,301,#N/A,#N/A,#N/A
PA,2,18/01/2023,6,control,multiple,105,105a,27,26,0.96
PA,2,18/01/2023,6,control,multiple,105,105b,47,45,0.96
PA,2,18/01/2023,6,control,multiple,112,112a,4,3,0.75
PA,2,18/01/2023,6,control,multiple,112,112b,46,34,0.74
PA,2,18/01/2023,6,control,multiple,112,112c,31,19,0.61
PA,2,18/01/2023,6,control,multiple,167,167a,33,30,0.91
PA,2,18/01/2023,6,control,multiple,167,167b,54,5,0.09
PA,2,18/01/2023,6,control,multiple,245,245a,36,27,0.75
PA,2,18/01/2023,6,control,multiple,245,245b,44,26,0.59
PA,2,18/01/2023,6,control,multiple,247,247a,40,6,0.15
PA,2,18/01/2023,6,control,multiple,247,247b,83,72,0.87
PA,2,13/02/2023,0,240,single,16,16,33,0,0
PA,2,13/02/2023,0,240,single,22,22,24,0,0
PA,2,13/02/2023,0,240,single,42,42,21,7,0.33
PA,2,13/02/2023,0,240,single,48,48,13,0,0
PA,2,13/02/2023,0,240,single,49,49,33,5,0.15
PA,2,13/02/2023,0,240,single,68,68,8,0,0
PA,2,13/02/2023,0,240,single,184,184,32,18,0.56
PA,2,13/02/2023,0,240,single,225,225,44,7,0.16
PA,2,13/02/2023,0,240,single,226,226,63,34,0.54
PA,2,13/02/2023,0,240,single,243,243,46,25,0.54
PA,2,06/02/2023,0,360,single,25,25,29,0,0
PA,2,06/02/2023,0,360,single,47,47,14,0,0
PA,2,06/02/2023,0,360,single,50,50,25,8,0.32
PA,2,06/02/2023,0,360,single,134,134,32,0,0
PA,2,06/02/2023,0,360,single,223,223,46,1,0.02
PA,2,06/02/2023,0,360,single,253,253,14,10,0.71
PA,2,06/02/2023,0,360,multiple,181,181a,15,15,1
